COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Korea Republic of,KOR,7.3,4.7,7.6,8.5,0.3,2.9,5.9,2.5,0,1.8,4.1,0,1.3,0.1,0.4,3.6,0.4,0.2,0,1,0.4,2.1,1.3,1.5,3.6,2.6,1.3,0,1.4,0.9,1.8,2.1,Low,150,#VALUE!,10,20%,,#VALUE!
Kuwait,KWT,0.2,1.3,0,0,3.1,3.8,1.5,0.7,0,0.5,1,1.9,3.6,0,1.9,1.6,0.3,0.7,0,1,0.5,1.1,1.5,x,5.6,5.6,1.1,1.6,1,1.2,3.7,1.8,Very Low,164,#VALUE!,11,22%,,#VALUE!
Kyrgyzstan,KGZ,8.6,5.6,0,0,6.7,5.2,5.2,6.7,0,4.7,5,4,2.9,5,4,0.8,0.8,1.1,0,2.4,1.1,1,2.6,3.7,6.8,5.3,2.7,3.7,4.2,3.5,4.5,3.9,Medium,87,#VALUE!,3,6%,,#VALUE!
Lao PDR,LAO,3.1,9.1,0,3.3,2.4,6.3,4.9,3.8,0,2.7,3.9,7.4,4.6,1.3,5.2,0,1.7,5.4,5.2,4.9,4.4,2.5,4,6.1,6.4,6.3,5,5.1,5.8,5.3,5.8,4.5,Medium,67,#VALUE!,6,12%,,#VALUE!
Latvia,LVA,0.1,6.5,0,0,2,1,2,0.1,0,0.1,1.1,1.1,2.5,0.6,1.3,1.3,0.7,0.3,0,1.4,0.6,1,1.2,x,3.7,3.7,1.5,0.7,2.1,1.4,2.6,1.5,Very Low,174,#VALUE!,11,22%,,#VALUE!
Lebanon,LBN,9.6,1.2,7.2,0,2.6,3.9,5.3,7.8,0,5.5,5.4,2.9,3.4,5.3,3.6,10,0.1,0.6,0.2,3.4,1.2,7.8,6.1,4.7,6.6,5.7,2.6,0.6,3.9,2.4,4.2,5.2,High,39,#VALUE!,9,18%,,#VALUE!
Lesotho,LSO,0.1,3,0,0,5.2,3.6,2.2,3,0,2.1,2.2,8.2,7.3,3.3,6.8,0,7.3,4.5,0,3.8,4.4,2.5,5,8.4,6.3,7.4,6.2,7,5.4,6.2,6.8,4.2,Medium,75,#VALUE!,2,4%,,#VALUE!
Liberia,LBR,0.1,6.2,5.5,0,0.5,7.5,4,3.1,0,2.2,3.2,9.4,5.7,5.9,7.6,3.4,4.8,4.6,0,8.3,5.1,4.3,6.2,x,7.3,7.3,8.3,7.9,7.5,7.9,7.6,5.3,High,35,#VALUE!,3,6%,,#VALUE!
Libya,LBY,1.9,2.6,7.3,0,5,3.1,3.7,9.9,10,10,8.2,3.3,2.3,1.6,2.6,8.4,0.4,1.1,0.3,1.7,0.9,5.8,4.4,x,8.4,8.4,4.6,3.3,3.4,3.8,6.7,6.2,High,19,#VALUE!,10,20%,YES,#VALUE!
Liechtenstein,LIE,5.2,0.1,0,0,0,1.2,1.3,0,0,0,0.7,0,x,0,0,2.6,x,x,0,0.8,0.4,1.6,0.8,x,1.5,1.5,1.4,0,x,0.7,1.1,0.9,Very Low,186,#VALUE!,32,63%,,#VALUE!
Lithuania,LTU,0.1,4.7,0,0,3.3,1,1.7,0,0,0,0.9,0.8,2.4,0.5,1.1,2,0.5,0.3,0,0.8,0.4,1.2,1.2,x,3.6,3.6,1.3,0.4,1.3,1,2.4,1.4,Very Low,176,#VALUE!,10,20%,,#VALUE!
Luxembourg,LUX,0.2,2,0,0,0,1.6,0.7,0,0,0,0.4,0,1.6,0.5,0.5,3.4,0.3,0.2,0,1.1,0.4,2,1.3,x,1.8,1.8,1.2,0.1,0.9,0.7,1.3,0.9,Very Low,186,#VALUE!,13,25%,,#VALUE!
Madagascar,MDG,0.1,7.2,7.8,7.4,4.4,6.7,6.1,0.9,0,0.6,3.9,8.9,4.4,2.1,6.1,1.4,4,3.4,3.1,9.1,5.7,3.9,5.1,4.7,7.4,6.1,8,9.4,6.9,8.1,7.2,5.2,High,39,#VALUE!,3,6%,,#VALUE!
Malawi,MWI,6.5,5.3,0,0.7,5.9,6.1,4.5,1.4,0,1,2.9,8.7,6.6,4,7,4.9,6.3,4,4.9,4.5,5,5,6.1,4,6.6,5.3,8,7.5,7.5,7.7,6.7,4.9,Medium,54,#VALUE!,0,0%,,#VALUE!
Malaysia,MYS,2.3,6.6,7.1,2.9,3.3,5.3,4.9,3.4,0,2.4,3.8,2,3.9,0.1,2,6.1,0.7,1.8,0,1.7,1.1,4,3.1,2.6,4.3,3.5,1.7,2.9,3.3,2.6,3.1,3.3,Low,107,#VALUE!,8,16%,,#VALUE!
Maldives,MDV,0.1,0.1,9,0,0,3.2,3.2,0.3,0,0.2,1.8,3.5,4,0.5,2.9,0,0.3,2.3,0,3.1,1.5,0.8,1.9,5.8,6.4,6.1,1.1,0.1,3.2,1.5,4.2,2.4,Low,139,#VALUE!,10,20%,,#VALUE!
Mali,MLI,0.1,6.9,0,0,5,6.4,3.7,9.8,8,8,6.3,9.7,5.5,3.2,7,6.3,4.3,7.2,0,0.8,3.7,5.1,6.1,4.9,6.9,5.9,7.2,6.7,8.1,7.3,6.7,6.4,High,16,#VALUE!,1,2%,YES,#VALUE!
Malta,MLT,0.1,0.1,7.7,0,0,2.9,2.5,0,0,0,1.3,0.4,2,0.3,0.8,5.2,0.1,0.5,0,1,0.4,3.2,2.1,x,3.8,3.8,1.7,0,0.5,0.7,2.4,1.9,Very Low,156,#VALUE!,13,25%,,#VALUE!
Marshall Islands,MHL,0.1,0.1,8.6,0.4,3.4,3.7,3.6,0,0,0,2,3.8,x,8.2,5.3,0,6.2,2.8,0,5,3.9,2.2,3.9,7.3,8.1,7.7,4.2,1.4,6.9,4.2,6.3,3.7,Medium,96,#VALUE!,20,39%,,#VALUE!
Mauritania,MRT,0.8,7.5,4.6,0,9.2,5.8,5.6,5,0,3.5,4.6,8.4,5.1,1.8,5.9,6.5,1.5,5.2,10,2.7,6.3,6.4,6.2,4.8,6.9,5.9,6.9,7.2,7.3,7.1,6.5,5.7,High,27,#VALUE!,3,6%,,#VALUE!
Mauritius,MUS,0.1,0.1,6.8,7,1.3,3.7,3.8,0.1,0,0.1,2.1,2.2,3.9,0.3,2.2,0,0.7,1,1.2,2,1.2,0.6,1.4,3.3,4.1,3.7,2.5,0.2,3.2,2,2.9,2,Low,152,#VALUE!,10,20%,,#VALUE!
Mexico,MEX,8.6,7.2,6.6,7.7,3.8,4.9,6.8,9.9,9,9,8.1,4,4.6,0.4,3.3,6.4,0.9,0.8,0.3,1.2,0.8,4.1,3.7,5.1,6.2,5.7,2.8,3.1,3.1,3,4.5,5.1,High,47,#VALUE!,4,8%,YES,#VALUE!
Micronesia,FSM,0.1,0.1,8.6,3.8,5.4,3.1,4.3,0,0,0,2.4,5.5,3.8,7.5,5.6,0,5,2.5,8.8,5,5.9,3.5,4.6,6,4.8,5.4,5.9,3.4,5.3,4.9,5.2,3.9,Medium,87,#VALUE!,19,37%,,#VALUE!
Moldova Republic of,MDA,6.3,5.6,0,0,5.4,4.7,4.1,2.4,0,1.7,3,3.2,1.6,2.7,2.7,1,1.1,0.9,0.1,3,1.3,1.2,2,6.2,6.4,6.3,2.2,1.6,3.3,2.4,4.6,3,Low,119,#VALUE!,6,12%,,#VALUE!
Mongolia,MNG,2.4,4.3,0,0,5.7,1.9,2.7,0.3,0,0.2,1.5,4.9,2.9,4.1,4.2,0,2.6,0.9,4.3,3.9,3,1.6,3,5.1,5.9,5.5,3.4,5.9,3.8,4.4,5,2.8,Low,126,#VALUE!,5,10%,,#VALUE!
Montenegro,MNE,5.8,4.4,7.7,0,2,2.6,4.2,0.1,0,0.1,2.4,1.4,1.8,2,1.7,1.8,0.2,0.3,0,0.6,0.3,1.1,1.4,4,5.1,4.6,1.3,0.9,3.1,1.8,3.3,2.2,Low,146,#VALUE!,6,12%,,#VALUE!
Morocco,MAR,4.8,5.8,6.7,0,6.2,3.7,4.9,5.8,0,4.1,4.5,5.9,5,1.4,4.6,2.6,0.5,1.3,1.2,0,0.8,1.7,3.3,5.6,5.5,5.6,3.4,3.7,4.5,3.9,4.8,4.1,Medium,78,#VALUE!,1,2%,,#VALUE!
Mozambique,MOZ,3.8,6.3,6,5.2,7.6,6.6,6,6.6,0,4.6,5.3,9.5,7.4,4.1,7.6,4.8,9.3,4.6,3.1,6.8,6.6,5.8,6.8,2.1,7.3,4.7,7.8,8.8,7.6,8.1,6.7,6.2,High,19,#VALUE!,0,0%,,#VALUE!
Myanmar,MMR,9.1,9.9,8.9,5.6,1,6.6,7.8,9.3,7,7,7.4,7.5,4.7,1.3,5.3,7,3.9,4,0.3,3.1,2.9,5.3,5.3,7.1,7.1,7.1,5.2,5.7,5.3,5.4,6.3,6.3,High,17,#VALUE!,3,6%,YES,#VALUE!
Namibia,NAM,0.1,6.1,0,0,8.5,4.7,4.1,0.6,0,0.4,2.4,7.2,7.4,1.1,5.7,2.8,5.9,3.2,0,5.9,4.1,3.5,4.7,4.3,4.7,4.5,4.6,6.7,5.2,5.5,5,3.8,Medium,92,#VALUE!,2,4%,,#VALUE!
Nauru,NRU,0.1,0.1,8.2,0,0,3.8,2.8,0,0,0,1.5,2.8,x,10,5.2,5.3,2.3,1.8,0,5,2.5,4,4.6,8.1,5.9,7,3.4,1.3,4.7,3.1,5.4,3.3,Low,107,#VALUE!,25,49%,,#VALUE!
Nepal,NPL,9.9,6.7,0,0.2,2.8,6.6,5.7,8,0,5.6,5.7,7.4,4.2,4.5,5.9,3.7,2.3,4.3,1.8,2.7,2.8,3.3,4.7,5.4,6.9,6.2,4.7,5,6.2,5.3,5.8,5.4,High,31,#VALUE!,3,6%,,#VALUE!
Netherlands,NLD,2.4,5.8,0,0,0.5,1.7,2,0,0,0,1,0,0.7,0.1,0.2,6,0.1,0.3,0,1.6,0.5,3.7,2.1,1.7,1.6,1.7,1.7,0.1,0.6,0.8,1.3,1.4,Very Low,176,#VALUE!,10,20%,,#VALUE!
New Zealand,NZL,7,3.8,7,2.9,1.5,2.1,4.4,0,0,0,2.5,0,1.8,0.1,0.5,1.8,0.1,0.4,0,1.4,0.5,1.2,0.9,2.6,1.4,2,1.5,2,0.9,1.5,1.8,1.6,Very Low,169,#VALUE!,13,25%,,#VALUE!
Nicaragua,NIC,9.5,5.1,8.1,3.6,4.1,5.9,6.6,4.9,8,8,7.4,6.1,5.7,2.6,5.1,0.9,1,1.3,2.6,4.3,2.4,1.7,3.6,4.7,6.9,5.8,4,5,4.7,4.6,5.2,5.2,High,39,#VALUE!,6,12%,YES,#VALUE!
Niger,NER,0.1,7.4,0,0,6.7,6.8,4.3,9.7,0,6.8,5.7,10,5.5,4.1,7.4,7.3,4.5,6.8,1.7,3.7,4.4,6.1,6.8,5.3,6.5,5.9,9,9.7,7.9,8.9,7.7,6.7,Very High,13,#VALUE!,1,2%,,#VALUE!
Nigeria,NGA,0.1,8,0,0,0.5,7.9,3.9,10,10,10,8.3,8.4,4.5,1,5.6,7.9,6.1,7.4,0.5,3.7,4.9,6.6,6.1,2.8,7.1,5,6.4,7.2,9.3,7.6,6.5,6.9,Very High,10,#VALUE!,3,6%,YES,#VALUE!
North Macedonia,MKD,7,4.2,0,0,3.3,4.9,3.7,2.6,0,1.8,2.8,3,2.4,0.9,2.3,1.2,0.1,0.7,0,2,0.7,1,1.7,3.8,5.5,4.7,2.2,2,2.7,2.3,3.6,2.6,Low,131,#VALUE!,7,14%,,#VALUE!
Norway,NOR,0.8,0.1,0,0,0,1,0.3,0,0,0,0.2,0,0.6,0,0.2,5.9,0.2,0.2,0,1,0.4,3.6,2.1,2.3,1.3,1.8,1.7,1.9,0.3,1.3,1.6,0.9,Very Low,186,#VALUE!,11,22%,,#VALUE!
Oman,OMN,0.1,3.7,9.2,3.2,5,5.2,5.2,0.2,0,0.1,3,1.6,3.5,0,1.7,1,0.1,1.4,0,2.3,1,1,1.4,x,4.7,4.7,1.6,3.4,1.5,2.2,3.6,2.5,Low,135,#VALUE!,10,20%,,#VALUE!
Pakistan,PAK,9.3,8.8,6.7,3.8,5.5,7.8,7.4,9.7,8,8,7.7,8,4.7,1,5.4,7.6,1.8,6.4,2.2,5.3,4.2,6.2,5.8,4,6.5,5.3,6.4,5,6.3,5.9,5.6,6.3,High,17,#VALUE!,3,6%,YES,#VALUE!
Palau,PLW,0.1,0.1,7.7,4.9,0,2.3,3.2,0,0,0,1.7,2,x,5.2,3.1,0,1,0.9,0.3,5,2,1,2.1,5.9,5.5,5.7,1.5,1.3,3.9,2.2,4.2,2.5,Low,135,#VALUE!,19,37%,,#VALUE!
Palestine,PSE,5.2,1.8,5.6,0,0,4.4,3.2,5.6,7,7,5.4,3.5,2.2,8.1,4.3,10,0,1,0,2.8,1,7.8,6.4,5.8,5.8,5.8,2.7,0.3,0.3,1.1,3.8,5.1,High,47,#VALUE!,15,29%,YES,#VALUE!
Panama,PAN,9.3,3,9.1,2.4,1.3,5.4,6.2,0.2,0,0.1,3.8,2.2,6.2,0.1,2.7,4.2,1,1.1,0.1,2.9,1.3,2.9,2.8,4.3,5.7,5,2.4,3.7,3.3,3.1,4.1,3.5,Medium,102,#VALUE!,6,12%,,#VALUE!
Papua New Guinea,PNG,9.7,5,8.6,2.6,2.5,6.4,6.7,4.6,0,3.2,5.2,7.1,7.1,1.3,5.7,4.3,5.7,5.2,3.3,3.9,4.6,4.5,5.1,6.7,6.8,6.8,7,9.8,6.7,7.8,7.3,5.8,High,26,#VALUE!,10,20%,,#VALUE!
Paraguay,PRY,0.1,4.8,0,0,3.5,5.1,2.6,3.1,0,2.2,2.4,4.4,6.1,0.3,3.8,0.9,1.3,1,9.2,3.5,4.9,3.1,3.5,3.7,6.9,5.3,2.7,3.1,4.4,3.4,4.4,3.3,Low,107,#VALUE!,4,8%,,#VALUE!
Peru,PER,9.9,6.4,9.3,0,4.6,5.5,7.1,2.8,0,2,5.1,4.7,4.8,0.2,3.6,6.9,0.9,1,1.8,3,1.7,4.8,4.2,3.6,5.9,4.8,2.8,4.7,4.8,4.1,4.5,4.6,Medium,61,#VALUE!,5,10%,,#VALUE!
Philippines,PHL,10,7.2,9.3,9.5,4.1,6.8,8.4,8.8,7,7,7.8,4.9,4.8,1.2,4,6.2,3.9,3.4,6.5,3.4,4.4,5.4,4.7,3.5,5.8,4.7,2.6,3,4.7,3.4,4.1,5.3,High,35,#VALUE!,5,10%,YES,#VALUE!
Poland,POL,1.3,6.1,0,0,1.8,2.3,2.2,0.1,0,0.1,1.2,0.7,1.7,0.2,0.8,3.3,0.2,0.4,0,0.8,0.4,2,1.4,4.3,3.9,4.1,1.6,0.1,2.2,1.3,2.8,1.7,Very Low,168,#VALUE!,11,22%,,#VALUE!
Portugal,PRT,3.7,3.7,6.2,0.3,2.5,1.8,3.3,0,0,0,1.8,1.1,1.9,0.1,1.1,1.7,0.3,0.3,0,0.8,0.4,1.1,1.1,2.6,3,2.8,2.1,0,0.8,1,1.9,1.6,Very Low,169,#VALUE!,9,18%,,#VALUE!
Qatar,QAT,0.1,0,1.6,0,3.1,3.1,1.4,0.1,0,0.1,0.8,0.9,2.7,0.1,1.2,0.9,0.3,0.6,0,1,0.5,0.7,1,4.7,3.7,4.2,0.9,0.2,2.7,1.3,2.9,1.3,Very Low,180,#VALUE!,13,25%,,#VALUE!
Romania,ROU,6.6,7,0,0,2.8,4.6,4.1,4,0,2.8,3.5,1.8,3.4,0.4,1.9,2.5,0.5,0.6,0,0.4,0.4,1.5,1.7,3.8,5.3,4.6,2.2,1,3.6,2.3,3.5,2.8,Low,126,#VALUE!,9,18%,,#VALUE!
Russian Federation,RUS,5.1,8.4,5.5,3.8,5.3,3.2,5.5,9.7,0,6.8,6.2,1.7,3.3,0.1,1.7,4.6,1.8,0.6,0,0.8,0.8,2.9,2.3,x,6.2,6.2,1.3,3.5,2,2.3,4.5,4,Medium,82,#VALUE!,11,22%,,#VALUE!
Rwanda,RWA,4.5,4.4,0,0,5.1,5.8,3.6,4.3,0,3,3.3,8.4,4.9,3.9,6.4,6.6,5.1,2.8,0.1,8.4,4.9,5.8,6.1,3,4.5,3.8,6.7,6.3,5.7,6.2,5.1,4.7,Medium,57,#VALUE!,0,0%,,#VALUE!
Saint Kitts and Nevis,KNA,4.2,0.1,0,6.9,0,2.9,2.8,0,0,0,1.5,2.4,x,0.5,1.8,0.9,0,1.1,0,3.5,1.3,1.1,1.5,4,3.9,4,1.8,0.4,3.1,1.8,3,1.9,Very Low,156,#VALUE!,23,45%,,#VALUE!
Saint Lucia,LCA,4.3,0.1,0,4.7,0.5,4.5,2.6,0,0,0,1.4,2.4,5.5,0.8,2.8,0,0.8,1,0,6,2.3,1.2,2,5.2,4.5,4.9,3.5,0.6,4.1,2.7,3.9,2.2,Low,146,#VALUE!,13,25%,,#VALUE!
Saint Vincent and the Grenadines,VCT,5.1,0.1,0,4.3,0.5,4.1,2.6,0,0,0,1.4,3.5,x,1.2,2.7,0,0,1.2,0,2.1,0.9,0.5,1.7,x,4.4,4.4,3.1,0.8,3.1,2.3,3.4,2,Low,152,#VALUE!,20,39%,,#VALUE!
Samoa,WSM,4.3,0.1,6.9,4.4,0.5,2.7,3.5,0,0,0,1.9,3.7,4.2,8.5,5,0,1.9,1,0,1.3,1.1,0.6,3.1,4.6,3.8,4.2,3.7,1.7,6.4,3.9,4.1,2.9,Low,124,#VALUE!,15,29%,,#VALUE!
Sao Tome and Principe,STP,0.1,0.1,0,0,0,5.9,1.3,0,0,0,0.7,7.7,4.4,3.8,5.9,0,3.5,2.9,0,2.5,2.3,1.2,3.9,x,6,6,4.4,4.3,5.5,4.7,5.4,2.5,Low,135,#VALUE!,3,6%,,#VALUE!
Saudi Arabia,SAU,2.3,3.7,0,0,4.1,5.7,2.9,6.6,0,4.6,3.8,0.9,3.1,0,1.2,1.5,0.1,0.6,0,1.7,0.6,1.1,1.2,x,4.8,4.8,1.9,3.2,1.1,2.1,3.6,2.5,Low,135,#VALUE!,11,22%,,#VALUE!
Senegal,SEN,0.1,4.8,6.4,0,7.5,6.3,4.8,5.2,0,3.6,4.2,8.6,5.4,2.4,6.3,4.5,3.2,3.3,0,3.5,2.6,3.6,5.1,4.7,5.6,5.2,6.1,6.1,6.3,6.2,5.7,5,High,52,#VALUE!,0,0%,,#VALUE!
Serbia,SRB,5.5,8.9,0,0,2.6,3.9,4.4,2.8,0,2,3.3,1.6,1.7,2.3,1.8,4.7,0.2,0.4,0.1,2.8,0.9,3,2.4,4.9,5.4,5.2,1.9,1.9,2.3,2,3.8,3.1,Low,112,#VALUE!,5,10%,,#VALUE!
Seychelles,SYC,0.1,0.1,8.6,0,0,2.6,2.8,0,0,0,1.5,2.1,5.5,0.5,2.6,0,0.2,1,0,3.7,1.3,0.7,1.7,4.3,3.8,4.1,1.7,0.9,4.7,2.4,3.3,2,Low,152,#VALUE!,14,27%,,#VALUE!
Sierra Leone,SLE,0.1,4.6,5.8,0,1,7.7,3.9,5.4,0,3.8,3.9,9.7,5.5,3.9,7.2,0.9,7,6.3,0,6.1,5.4,3.5,5.7,3.5,7.2,5.4,7.7,8.4,8.2,8.1,7,5.4,High,31,#VALUE!,0,0%,,#VALUE!
Singapore,SGP,0.1,0.1,0,0,0,4.3,0.9,0.1,0,0.1,0.5,0,0.9,0,0.2,0,0.4,0.2,0,1.7,0.6,0.3,0.3,1.2,1.1,1.2,1.3,0,1.5,0.9,1.1,0.5,Very Low,191,#VALUE!,14,27%,,#VALUE!
Slovakia,SVK,4.2,6.7,0,0,2,1.9,2.9,0.1,0,0.1,1.6,0.9,1.4,0.4,0.9,1.1,0.1,0.4,0,2.3,0.7,0.9,0.9,3.4,4.2,3.8,1.9,0.1,1.8,1.3,2.6,1.6,Very Low,169,#VALUE!,10,20%,,#VALUE!
Slovenia,SVN,6.1,4,5.7,0,1.5,1.4,3.5,0,0,0,1.9,0.1,0.4,0.2,0.2,1.4,0.1,0.2,0,1.6,0.5,1,0.6,0.9,3.4,2.2,1.7,0.1,1.6,1.1,1.7,1.2,Very Low,182,#VALUE!,8,16%,,#VALUE!
Solomon Islands,SLB,8.4,0.1,8.7,4.1,3.3,5.6,5.8,1.5,0,1.1,3.8,7.1,3,6.6,6,0,4.8,2.1,0.1,2.8,2.6,1.4,4.1,6.6,6.3,6.5,6.3,7.8,5.6,6.6,6.6,4.7,Medium,57,#VALUE!,13,25%,,#VALUE!
Somalia,SOM,1.6,7.5,8.1,1,10,6.3,6.9,10,10,10,8.9,8.7,10,8.4,9,10,2,7.5,10,6.4,7.5,9.1,9.1,x,9.2,9.2,8.1,7.8,9.2,8.4,8.8,8.9,Very High,1,#VALUE!,11,22%,YES,#VALUE!
South Africa,ZAF,2,5,4.9,0.4,8.8,4.8,5,9.4,0,6.6,5.9,4.5,7.4,0.3,4.2,6.6,6,2.1,0,1.9,2.8,5,4.6,3.9,5.1,4.5,2.4,3.9,5.5,3.9,4.2,4.8,Medium,55,#VALUE!,0,0%,,#VALUE!
South Sudan,SSD,2.8,7.1,0,0,3.7,7,4,10,8,8,6.4,10,5.3,10,8.8,10,5.4,6.8,0.6,8.1,5.8,8.7,8.8,x,9.4,9.4,9,9.8,9.6,9.5,9.5,8.1,Very High,3,#VALUE!,9,18%,YES,#VALUE!
Spain,ESP,3.5,5.4,7,0,4.5,2.1,4.1,1.5,0,1.1,2.7,0.2,2,0.1,0.6,5.3,0.3,0.2,0,1.4,0.5,3.3,2.1,2.2,3.6,2.9,1.7,0,0.2,0.6,1.8,2.2,Low,146,#VALUE!,9,18%,,#VALUE!
Sri Lanka,LKA,0.1,6.1,8.5,3.6,3.5,5.9,5.2,4.2,0,2.9,4.1,2.6,4.2,1.1,2.6,4.5,0.4,2.7,2.1,3,2.1,3.4,3,3.6,5.8,4.7,3,2.8,4.1,3.3,4,3.7,Medium,96,#VALUE!,8,16%,,#VALUE!
Sudan,SDN,0.1,8,0,0,6.9,6.1,4.4,10,9,9,7.3,8.6,5.1,0.6,5.7,9.6,1.4,6.1,0.2,5.1,3.6,7.7,6.8,4.9,8.1,6.5,6.4,8.3,5.9,6.9,6.7,6.9,Very High,10,#VALUE!,0,0%,YES,#VALUE!
Suriname,SUR,0.1,8.6,3.2,0,1.5,5.2,3.9,0.1,0,0.1,2.2,4.7,5.9,0.3,3.9,1.3,1.1,1.4,0,3,1.4,1.4,2.7,x,6,6,2.5,4.1,5.5,4,5.1,3.1,Low,112,#VALUE!,8,16%,,#VALUE!
Sweden,SWE,0.1,3.2,0,0,1.5,1.7,1.2,0.1,0,0.1,0.7,0,0.9,0.1,0.3,7.8,0.2,0.2,0,1.6,0.5,5.2,3.1,2.5,1.4,2,1.6,0.9,0.1,0.9,1.5,1.5,Very Low,174,#VALUE!,11,22%,,#VALUE!
Switzerland,CHE,5.1,4.3,0,0,0.5,1.9,2.2,0.1,0,0.1,1.2,0,1.2,0.1,0.3,6.5,0.2,0.3,0,1.3,0.5,4.1,2.4,0.9,1.2,1.1,1.5,0,0.4,0.6,0.9,1.4,Very Low,176,#VALUE!,13,25%,,#VALUE!
Syria,SYR,7.8,5.2,5.6,0,7.2,5.4,5.6,10,10,10,8.6,6.4,7.3,10,7.5,10,0.5,1.8,1.4,5.6,2.6,8,7.8,4.6,8.7,6.7,4.2,2.7,6.3,4.4,5.7,7.3,Very High,6,#VALUE!,10,20%,YES,#VALUE!
Tajikistan,TJK,9.3,5.4,0,0,7.6,6.1,5.8,6.5,0,4.6,5.2,5.3,3.3,4.2,4.5,2,1.4,2.8,0.1,4,2.2,2.1,3.4,4.6,7.4,6,3.2,4.4,4,3.9,5,4.5,Medium,67,#VALUE!,6,12%,,#VALUE!
Tanzania,TZA,4.8,5.8,5.9,0.8,4.9,6.6,5,6.6,0,4.6,4.8,8.2,5.2,1.5,5.8,6.6,5.3,3.6,3.5,7.1,5.1,5.9,5.9,3.5,6.4,5,6.5,8.6,6.4,7.2,6.2,5.6,High,29,#VALUE!,0,0%,,#VALUE!
Thailand,THA,2.1,8.8,7.2,4.9,5.7,5.7,6.2,6.9,0,4.8,5.5,2.4,4.1,0.2,2.3,5.5,1.3,1.1,2.4,2.7,1.9,3.9,3.1,4.7,5.3,5,2,1.9,4.1,2.7,3.9,4.1,Medium,78,#VALUE!,6,12%,,#VALUE!
Timor-Leste,TLS,6.3,1.7,6,3.6,1.5,6.1,4.5,3,0,2.1,3.4,7.4,0.9,4.1,5,0,6.4,6.9,0,6.5,5.5,3.2,4.2,6.3,6.8,6.6,5,5.9,6.6,5.8,6.2,4.5,Medium,67,#VALUE!,8,16%,,#VALUE!
Togo,TGO,0.1,4.3,0,0,2.5,7.4,2.9,3,0,2.1,2.5,8.4,6.1,2.6,6.4,3.6,5.3,4.6,0,4.3,3.8,3.7,5.2,9.2,7.2,8.2,6.6,8,6.3,7,7.7,4.6,Medium,61,#VALUE!,1,2%,,#VALUE!
Tonga,TON,7.7,0.1,8,6.2,0.5,3.8,5.2,0,0,0,3,3.5,4.4,10,5.4,0,2.1,0.8,10,4.2,5.9,3.5,4.5,5.8,5.4,5.6,2.9,0.2,5.5,2.9,4.4,3.9,Medium,87,#VALUE!,17,33%,,#VALUE!
Trinidad and Tobago,TTO,6.3,0.3,0,2.4,2.3,4.9,3,0.8,0,0.6,1.9,2.3,4.3,0.2,2.3,4.4,0.8,2,5.4,1.6,2.7,3.6,3,4.4,5.2,4.8,1.4,0.4,2.4,1.4,3.3,2.7,Low,128,#VALUE!,9,18%,,#VALUE!
Tunisia,TUN,5.7,3.8,7.5,0,5.3,2.8,4.6,3.9,0,2.7,3.7,3.1,3,1.4,2.7,1.2,0.3,0.8,0.1,0.4,0.4,0.8,1.8,6.4,5.4,5.9,3.2,2.7,3.8,3.2,4.7,3.2,Low,110,#VALUE!,3,6%,,#VALUE!
Turkey,TUR,9.7,5.7,7,0,2.6,6.2,6.2,9.6,9,9,7.9,2.2,4.2,0.5,2.3,9.4,0.1,0.7,0,0,0.2,6.8,4.9,2.1,5.4,3.8,2.6,1.8,3.3,2.6,3.2,5,High,52,#VALUE!,8,16%,YES,#VALUE!
Turkmenistan,TKM,3.3,6.4,0,0,4.6,5.6,3.7,1.2,0,0.8,2.4,2.4,x,0,1.6,0,0.3,3.6,0,2,1.6,0.8,1.2,x,7.7,7.7,2.6,3.3,2.8,2.9,5.8,2.6,Low,131,#VALUE!,12,24%,,#VALUE!
Tuvalu,TUV,0.1,0.1,8.3,0.1,0.5,4.2,3,0,0,0,1.6,4.6,3.5,7.7,5.1,0,7.2,1.2,0,4.2,3.7,2,3.7,x,6.5,6.5,4,0.6,5.5,3.4,5.1,3.1,Low,112,#VALUE!,24,47%,,#VALUE!
Uganda,UGA,4,5.1,0,0,5.2,7.9,4.3,9.3,0,6.5,5.5,8.5,5.8,2.7,6.4,8.7,5.9,3.1,0.3,8.7,5.4,7.4,6.9,x,6.8,6.8,7,9,6.5,7.5,7.2,6.5,Very High,15,#VALUE!,2,4%,,#VALUE!
Ukraine,UKR,2.5,7.1,0,0,3.3,3.9,3.2,10,7,7,5.4,1.7,1.9,1.8,1.8,8.1,1.1,0.7,0,2.1,1,5.6,3.9,x,6.4,6.4,2.1,1.4,4.2,2.6,4.8,4.7,Medium,57,#VALUE!,8,16%,YES,#VALUE!
